date,services,abbrev,time,filename_each,streetlevel_airtemp_c,turnstile_level_airtemp_c
071024,BD,FR,A,"FLIR071024BDFRA01, FLIR071024BDFRA02",31.8,
071024,BD,182,A,"FLIR071024BD182A01, FLIR071024BD182A02",31.2,
071024,BD,TA,A,"FLIR071024BDTAA01, FLIR071024BDTAA02",31.0,
071024,BD,174,A,"FLIR071024BD174A01, FLIR071024BD174A02",31.6,
071024,BD,179,A,"FLIR071024BD179A01, FLIR071024BD179A02, FLIR071024BD179A03",31.3,
071024,BD,167,A,"FLIR071024BD167A01, FLIR071024BD167A02, FLIR071024BD167A03",32.3,
071024,BD,161,A,"FLIR071024BD161A01, FLIR071024BD161A02, FLIR071024BD161A03, FLIR071024BD161A04",30.6,
071524,BD,205,M,"FLIR071524BD205M01, FLIR071524BD205M02, FLIR071524BD205M03",29.6,
071524,BD,BPB,M,"FLIR071524BDBPBM01, FLIR071524BDBPBM02, FLIR071524BDBPBM03",30.6,
071524,BD,KR,M,"FLIR071524BDKRM01, FLIR071524BDKRM02",31.3,
071524,BD,FR,M,"FLIR071524BDFRM01, FLIR071524BDFRM02",31.3,
071524,BD,182,M,"FLIR071524BD182M01, FLIR071524BD182M02",31.3,
071524,BD,TA,M,"FLIR071524BDTAM01, FLIR071524BDTAM02",31.8,
071524,BD,174,M,"FLIR071524BD174M01, FLIR071524BD174M02, FLIR071524BD174M03",30.9,
071524,BD,170,M,"FLIR071524BD170M01, FLIR071524BD170M02",30.2,
071524,BD,167,M,"FLIR071524BD167M01, FLIR071524BD167M02",30.9,
071524,BD,161,M,"FLIR071524BD161M01, FLIR071524BD161M02",30.1,
071524,BD,205,A,"FLIR071524BD205A01, FLIR071524BD205A02, FLIR071524BD205A03",31.4,
071524,BD,BPB,A,"FLIR071524BDBPBA01, FLIR071524BDBPBA02, FLIR071524BDBPBA03",31.4,
071524,BD,KR,A,"FLIR071524BDKRA01, FLIR071524BDKRA02",31.2,
071524,BD,FR,A,"FLIR071524BDFRA01, FLIR071524BDFRA02, FLIR071524BDFRA03",32.3,
071524,BD,182,A,"FLIR071524BD182A01, FLIR071524BD182A02",31.1,
071524,BD,TA,A,"FLIR071524BDTAA01, FLIR071524BDTAA02, FLIR071524BDTAA03",30.9,
071524,BD,174,A,"FLIR071524BD174A01, FLIR071524BD174A02",31.1,
071524,BD,170,A,"FLIR071524BD170A01, FLIR071524BD170A02",31.3,
071524,BD,167,A,"FLIR071524BD167A01, FLIR071524BD167A02",30.1,
071524,BD,161,A,"FLIR071524BD161A01, FLIR071524BD161A02, FLIR071524BD161A03",31.6,
071624,BD,205,M,"FLIR071624BD205M01, FLIR071624BD205M02",31.6,
071624,BD,BPB,M,"FLIR071624BDBPBM01, FLIR071624BDBPBM02",32.3,
071624,BD,KR,M,"FLIR071624BDKRM01, FLIR071624BDKRM02, FLIR071624BDKRM03",32.2,
071624,BD,FR,M,FLIR071624BDFRM01,32.9,
